job_titles,cluster
Communications Manager,48
Data Collector,31
Data Entry,48
Mail Clerk,48
Compliance Officer,31
Chief Executive Officer (CEO),31
Therapist,11
Chief Strategy Officer,31
Admin,11
General Clerk,31
Mail Handler,48
Data Clerk,11
Data Entry Clerk,48
Data Entry Operator,48
Data Entry Specialist,11
Medical Transcriptionist,11
Street Sweeper,31
Supply Clerk,31
Warehouse Worker,31
Web Search Evaluator,31
Development Manager,48
Delivery Driver,31
Chief Security Officer,31
File Clerk,31
Mail Processing,48
Director Of Operations,31
Direct Support Professional,31
Chief Communications Officer,31
Administrative Clerk,11
Executive Assistant,11
General Office Clerk,31
Transcriber,29
Sql Programmer,48
Vba Developer,31
Medical Scribe,29
Special Agent,48
Purchasing Clerk,48
Bricklayer,29
Telemarketer,31
Bakery Manager,48
Banquet Manager,48
Clerk Typist,11
Assistant,11
Business Relationship Manager,11
Distribution Manager,48
Administrative Assistant,11
Administrative Secretary,11
Clerical Assistant,11
Executive Administrative Assistant,11
Order Filler,31
Records Clerk,31
Scribe,48
Typist,11
Dishwasher,48
Digital Project Manager,48
Technical Project Manager,11
Grocer,48
Finance Officer,31
Word Processor,11
Market Research Interviewer,48
Pl Sql Developer,31
Quantitative Developer,11
Statistical Programmer,11
Tableau Developer,31
Data Modeler,48
Database Analyst,11
Database Developer,31
Etl Developer,31
Hadoop Developer,31
Sql Analyst,11
Procurement Assistant,11
Receiving Associate,11
Warehouse Associate,11
Press Operator,31
Pressman,11
Printing Press Operator,11
Automation Test Engineer,11
Automation Tester,11
QA Automation Engineer,11
Tax Preparer,31
Associate,11
Chief Learning Officer,31
Web Project Manager,48
Medical Coding Specialist,11
Front Desk,31
Credit Manager,48
Advertising Manager,48
Caller,48
Phone Sales,11
Telesales Representative,31
Accounting Clerk,11
Administrative Associate,11
Administrative Coordinator,11
Corporate Receptionist,48
Desk Receptionist,11
Executive Secretary,11
Front Desk Clerk,31
Front Desk Receptionist,31
Front Office Receptionist,31
Mail Sorter,11
Order Clerk,31
Medical Coder,48
Purchasing Assistant,11
Supply Technician,29
Android Developer,31
Ios Developer,31
Chief Of Staff,31
Intelligence Analyst,11
Photo Retoucher,11
Full Charge Bookkeeper,31
Grant Accountant,11
Epic Analyst,11
It Project Manager,48
Software Project Manager,48
Technology Project Manager,48
Cobol Developer,31
Quantitative Analyst,11
Quantitative Research Analyst,11
Report Developer,31
Sas Developer,31
Statistical Analyst,11
Backend Developer,31
Data Architect,11
Database Designer,48
Database Engineer,48
Gis Developer,31
Informatica Developer,31
Ui Developer,31
Ux Developer,31
Stenographer,48
Allocation Analyst,11
Business Operations Manager,11
Ecommerce,11
Solar Sales,31
Developer,31
Javascript Developer,31
Perl Developer,31
Pega Developer,31
Sap Developer,31
Clinical Informatics Specialist,11
Cloud Engineer,48
Data Scientist,11
Database Programmer,48
Information Assurance,11
Oracle Developer,31
Sql Database Developer,31
Sql Developer,31
Sql Server Developer,31
Teradata Developer,48
Net Developer,31
Sports Analyst,11
Chief Of Police,31
Emergency Dispatcher,48
Investigative Analyst,11
Police Dispatcher,11
Polygraph Examiner,11
Public Safety Dispatcher,31
Regulatory Analyst,11
Security Consultant,11
Embedded Systems Engineer,48
Implementation Analyst,11
Medical Billing Specialist,48
Medical Collector,11
Postal Clerk,31
Distribution Clerk,31
Purchasing Buyer,11
Qa Software Tester,11
Application Developer,31
Entry Level Developer,31
Front End Developer,31
Front End Engineer,48
Front End Web Developer,31
Full Stack Developer,31
J2Ee Developer,31
Robotics Engineer,48
Appointment Scheduler,11
Desk Clerk,31
Document Processor,11
Mailroom Clerk,48
Office Cleaner,31
Receiving Clerk,31
Radiologic Technologist,48
Radiology Technologist,11
Ultrasound Technician,11
Ultrasound Technologist,11
Electrical Technician,29
Flooring Installer,11
Technical Marketing Engineer,48
Web Content Editor,11
Engineering Project Manager,48
Infrastructure Project Manager,48
Sap Project Manager,48
Software Product Manager,48
Technical Product Manager,48
Cashier,11
Mystery Shopper,11
Infrastructure Architect,11
Actuary,11
Arabic Linguist,11
Game Programmer,48
Mortgage Loan Processor,48
Computational Linguist,11
Bank Teller,31
Credit Analyst,11
Credit Officer,31
Credit Risk Analyst,11
Credit Specialist,11
Financial Analyst,11
Financial Specialist,11
Fund Accountant,11
Payment Processor,11
Payroll Processor,11
Tax Examiner,48
Clinical Trial Assistant,11
Cad Drafter,31
Business Manager,11
Inpatient Coder,11
Assistant Branch Manager,48
Front Desk Attendant,11
Front Office Clerk,31
Administrative Officer,31
Administrative Specialist,11
Branch Office Administrator,11
Help Desk,31
Order Processor,31
Title Clerk,11
Warranty Clerk,31
Crm Analyst,11
Sales Operations Analyst,11
Freelance,11
Technology,29
Analog Design Engineer,48
Automation Engineer,11
Medical Claims Processor,11
Logistics Clerk,11
Shipping,11
Executive Producer,11
.Net Developer,31
Abap Developer,31
Asp.Net Developer,31
Associate Software Engineer,11
C Developer,31
C# Developer,31
Dot Net Developer,31
Firmware Engineer,48
Bookkeeper,31
Bookkeeping,31
Commercial Analyst,11
Commission Analyst,11
Corporate Financial Analyst,11
Cost Accountant,11
Derivatives Analyst,11
Energy Analyst,11
Environmental Analyst,11
Equity Analyst,11
Equity Research Analyst,11
Equity Research Associate,11
Finance Analyst,11
Finance Specialist,48
Financial Auditor,11
Forensic Accountant,11
Certified Professional Coder,31
Junior Java Developer,31
Junior Software Engineer,48
Operations Research Analyst,11
Rpg Programmer,48
Clinical Data Analyst,11
Database Administrator,11
Healthcare Data Analyst,11
Mainframe Programmer,48
Oracle Database Developer,31
Sql Data Analyst,11
Armored Truck Driver,31
Correctional Officer,31
Deputy Director,31
Forensic Chemist,11
Safety Consultant,11
Security Dispatcher,31
Cad Operator,31
